time,accx,accy,accz
3010,-194.00,40.00,94.00
3015,-170.00,72.00,80.00
3020,-174.00,190.00,-10.00
3025,-162.00,78.00,46.00
3030,-162.00,76.00,100.00
3035,-234.00,134.00,128.00
3040,-178.00,120.00,20.00
3045,-192.00,124.00,102.00
3050,-224.00,144.00,22.00
3055,-210.00,220.00,26.00
3060,-238.00,204.00,50.00
3065,-210.00,260.00,-4.00
3070,-252.00,234.00,50.00
3075,-218.00,226.00,118.00
3080,-226.00,284.00,16.00
3085,-250.00,252.00,86.00
3090,-270.00,234.00,114.00
3095,-198.00,264.00,92.00
3100,-228.00,270.00,-18.00
3105,-294.00,288.00,52.00
3110,-236.00,294.00,70.00
3115,-252.00,318.00,86.00
3120,-228.00,332.00,48.00
3125,-246.00,304.00,86.00
3130,-284.00,412.00,104.00
3135,-328.00,314.00,36.00
3140,-242.00,334.00,50.00
3145,-304.00,292.00,54.00
3150,-228.00,356.00,-4.00
3155,-218.00,248.00,102.00
3160,-246.00,184.00,84.00
3165,-162.00,224.00,124.00
3170,-58.00,294.00,-2.00
3175,98.00,236.00,60.00
3180,90.00,312.00,112.00
3185,70.00,318.00,42.00
3190,82.00,350.00,112.00
3195,114.00,302.00,72.00
3200,168.00,346.00,26.00
3205,206.00,406.00,-6.00
3210,230.00,392.00,110.00
3215,174.00,424.00,8.00
3220,268.00,420.00,40.00
3225,206.00,446.00,30.00
3230,186.00,398.00,66.00
3235,116.00,462.00,-4.00
3240,60.00,470.00,-24.00
3245,96.00,460.00,106.00
3250,178.00,652.00,-38.00
3255,126.00,624.00,46.00
3260,270.00,588.00,26.00
3265,268.00,536.00,82.00
3270,264.00,534.00,92.00
3275,280.00,652.00,38.00
3280,356.00,694.00,60.00
3285,420.00,696.00,-44.00
3290,460.00,738.00,40.00
3295,444.00,780.00,94.00
3300,492.00,778.00,-12.00
3305,434.00,742.00,-112.00
3310,376.00,588.00,150.00
3315,332.00,576.00,228.00
3320,512.00,738.00,202.00
3325,488.00,712.00,30.00
3330,384.00,526.00,232.00
3335,274.00,574.00,64.00
3340,362.00,552.00,-34.00
3345,340.00,546.00,-8.00
3350,254.00,408.00,6.00
3355,412.00,560.00,-162.00
3360,72.00,180.00,388.00
3365,8.00,216.00,52.00
3370,378.00,542.00,568.00
3375,200.00,454.00,32.00
3380,90.00,534.00,-456.00
3385,378.00,578.00,344.00
3390,254.00,550.00,32.00
3395,130.00,426.00,-290.00
3400,210.00,538.00,-70.00
3405,406.00,514.00,176.00
3410,204.00,486.00,122.00
3415,148.00,572.00,-44.00
3420,106.00,442.00,168.00
3425,94.00,372.00,-4.00
3430,36.00,384.00,-4.00
3435,172.00,362.00,-426.00
3440,46.00,330.00,144.00
3445,38.00,256.00,218.00
3450,-46.00,358.00,18.00
3455,120.00,446.00,76.00
3460,6.00,428.00,198.00
3465,-304.00,306.00,100.00
3470,-298.00,206.00,-94.00
3475,-146.00,194.00,72.00
3480,-118.00,316.00,-208.00
3485,-250.00,232.00,-54.00
3490,-28.00,304.00,348.00
3495,78.00,188.00,38.00
3500,130.00,352.00,16.00
3505,-44.00,214.00,-126.00
3510,-212.00,46.00,-190.00
3515,70.00,162.00,320.00
3520,18.00,64.00,58.00
3525,-22.00,206.00,-232.00
3530,32.00,298.00,136.00
3535,-50.00,386.00,132.00
3540,-178.00,396.00,556.00
3545,218.00,320.00,-144.00
3550,-176.00,498.00,228.00
3555,144.00,404.00,-466.00
3560,-18.00,530.00,282.00
3565,-58.00,516.00,270.00
3570,-2.00,544.00,274.00
3575,-112.00,530.00,50.00
3580,-82.00,438.00,-2.00
3585,-176.00,454.00,42.00
3590,-110.00,534.00,158.00
3595,6.00,408.00,62.00
3600,-26.00,540.00,132.00
3605,-104.00,442.00,156.00
3610,-46.00,458.00,72.00
3615,-102.00,316.00,-84.00
3620,-84.00,334.00,-186.00
3625,-122.00,492.00,160.00
3630,-114.00,434.00,32.00
3635,-138.00,502.00,22.00
3640,-190.00,476.00,88.00
3645,-426.00,386.00,228.00
3650,-476.00,332.00,116.00
3655,-384.00,188.00,58.00
3660,-596.00,176.00,-74.00
3665,-666.00,80.00,-46.00
3670,-382.00,-30.00,-14.00
3675,-254.00,102.00,82.00
3680,-170.00,8.00,106.00
3685,-172.00,206.00,-66.00
3690,-268.00,242.00,28.00
3695,-262.00,214.00,106.00
3700,-508.00,192.00,58.00
3705,-562.00,80.00,-110.00
3710,-788.00,64.00,8.00
3715,-830.00,156.00,-132.00
3720,-880.00,84.00,-222.00
3725,-910.00,4.00,-76.00
3730,-720.00,-56.00,202.00
3735,-408.00,60.00,142.00
3740,-530.00,36.00,360.00
3745,-548.00,-114.00,50.00
3750,-454.00,-56.00,-48.00
3755,-484.00,0.00,20.00
3760,-328.00,-80.00,-142.00
3765,-494.00,58.00,-82.00
3770,-562.00,-6.00,78.00
3775,-414.00,66.00,-136.00
3780,-674.00,252.00,156.00
3785,-820.00,148.00,8.00
3790,-714.00,-78.00,-128.00
3795,-644.00,-132.00,192.00
3800,-452.00,-242.00,-298.00
3805,-548.00,-220.00,-8.00
3810,-778.00,-198.00,-102.00
3815,-914.00,-104.00,188.00
3820,-624.00,-146.00,98.00
3825,-610.00,76.00,-52.00
3830,-708.00,6.00,-126.00
3835,-906.00,-90.00,18.00
3840,-944.00,-244.00,20.00
3845,-1066.00,-260.00,88.00
3850,-1186.00,-314.00,46.00
3855,-940.00,-302.00,-124.00
3860,-770.00,-34.00,-12.00
3865,-724.00,-36.00,-204.00
3870,-724.00,106.00,-238.00
3875,-926.00,156.00,-72.00
3880,-940.00,-50.00,-46.00
3885,-962.00,-110.00,220.00
3890,-982.00,-206.00,306.00
3895,-858.00,-180.00,92.00
3900,-732.00,-68.00,46.00
3905,-610.00,74.00,-28.00
3910,-684.00,126.00,-218.00
3915,-684.00,142.00,-122.00
3920,-854.00,-6.00,92.00
3925,-776.00,-506.00,80.00
3930,-522.00,186.00,402.00
3935,-1020.00,228.00,-470.00
3940,-596.00,302.00,-436.00
3945,-466.00,290.00,164.00
3950,-502.00,90.00,90.00
3955,-612.00,-40.00,-94.00
3960,-692.00,84.00,184.00
3965,-694.00,52.00,318.00
3970,-594.00,84.00,126.00
3975,-568.00,234.00,-8.00
3980,-546.00,230.00,-164.00
3985,-504.00,208.00,30.00
3990,-480.00,276.00,14.00
3995,-616.00,238.00,6.00
4000,-764.00,54.00,-16.00
4005,-662.00,-18.00,32.00
4010,-702.00,-28.00,94.00
4015,-762.00,-70.00,70.00
4020,-846.00,58.00,-42.00
4025,-802.00,42.00,-6.00
4030,-704.00,180.00,-68.00
4035,-634.00,142.00,68.00
4040,-730.00,162.00,24.00
4045,-772.00,94.00,112.00
4050,-800.00,56.00,8.00
4055,-696.00,94.00,42.00
4060,-696.00,22.00,78.00
4065,-660.00,110.00,6.00
4070,-648.00,30.00,68.00
4075,-674.00,98.00,42.00
4080,-634.00,168.00,-34.00
4085,-678.00,120.00,-82.00
4090,-584.00,146.00,6.00
4095,-672.00,190.00,58.00
4100,-646.00,124.00,-12.00
4105,-636.00,76.00,0.00
4110,-670.00,150.00,14.00
4115,-632.00,136.00,-6.00
4120,-556.00,124.00,102.00
4125,-466.00,198.00,38.00
4130,-514.00,182.00,-70.00
4135,-456.00,156.00,40.00
4140,-502.00,192.00,58.00
4145,-442.00,192.00,2.00
4150,-420.00,302.00,-66.00
4155,-424.00,340.00,-48.00
4160,-522.00,294.00,-18.00
4165,-484.00,234.00,-134.00
4170,-594.00,194.00,-134.00
4175,-706.00,76.00,58.00
4180,-748.00,42.00,100.00
4185,-854.00,112.00,32.00
4190,-834.00,88.00,14.00
4195,-700.00,132.00,104.00
4200,-614.00,100.00,144.00
4205,-580.00,118.00,42.00
4210,-522.00,176.00,84.00
4215,-516.00,156.00,34.00
4220,-578.00,184.00,-18.00
4225,-532.00,178.00,18.00
4230,-436.00,224.00,94.00
4235,-440.00,256.00,-58.00
4240,-440.00,202.00,-54.00
4245,-386.00,340.00,42.00
4250,-436.00,256.00,-84.00
4255,-434.00,242.00,-6.00
